Name;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013
Ismail;0;11;12;12;11;10;13;0;20;11;22;19;26;27;20;26
Ivan;24;20;26;30;36;29;35;47;38;44;47;55;64;35;50;52
Ivar;21;40;34;45;43;66;81;87;85;95;112;112;129;145;143;195
Izak;0;0;0;0;0;0;10;0;0;0;0;0;10;0;0;0
Jack;71;89;72;77;88;95;84;107;182;201;226;232;249;256;310;320
Jackson;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Jacob;456;452;404;325;456;373;321;255;239;264;195;196;200;158;165;161
Jake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10
Jakob;416;406;342;309;321;311;292;221;241;231;197;167;175;138;155;124
Jakub;0;0;0;0;0;0;0;0;0;0;0;11;10;14;16;10
Jamal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10
James;24;16;18;12;20;15;14;17;31;37;30;33;52;51;48;67
Jamie;0;0;0;0;13;33;30;21;28;22;28;44;62;51;82;86
Jan;12;14;10;12;15;11;11;13;13;16;11;17;17;17;24;21
Jason;0;0;0;0;0;0;0;12;11;18;13;19;36;30;60;59
Jasper;0;0;0;0;0;0;10;0;0;0;0;11;16;12;15;12
Jax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Jayden;0;0;0;0;0;0;0;0;0;0;0;0;0;18;14;17
Jens;76;51;49;40;42;37;38;29;25;24;21;0;20;14;11;0
Jerry;16;13;13;0;0;0;0;0;0;0;0;11;0;0;0;0
Jesper;708;561;493;416;386;359;294;271;198;181;144;117;96;92;79;58
Jesse;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;11
Jibril;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Jim;33;31;19;20;21;19;22;28;13;10;12;12;13;0;0;0
Jimmie;18;13;0;0;0;0;0;10;0;0;0;0;0;0;0;0
Jimmy;82;63;54;39;31;25;30;21;17;18;18;0;19;0;0;0
Joachim;32;17;18;11;0;17;0;10;0;0;0;0;0;0;0;0
Joacim;35;19;36;19;13;12;0;0;0;0;0;0;0;0;0;0
Joakim;257;251;204;195;165;122;84;86;63;64;57;44;25;26;20;20
Joar;32;26;31;29;28;43;40;50;44;23;34;36;31;39;27;33
Joel;402;389;410;474;485;511;477;498;457;391;279;288;295;245;214;181
Johan;677;625;533;464;399;375;290;264;194;158;145;109;112;87;76;76
Johannes;278;244;268;259;238;245;214;240;163;157;125;123;137;121;116;110
John;192;177;164;147;157;132;146;149;138;154;147;151;167;162;188;180
Johnny;16;11;13;0;0;0;0;0;10;0;15;0;10;11;14;11
Jon;15;13;16;25;22;18;18;13;19;18;20;19;21;21;24;32
Jona;0;0;0;0;0;0;0;0;0;0;0;10;0;17;10;0
Jonah;0;0;0;0;0;0;10;11;22;23;24;23;23;17;21;24
Jonas;291;204;166;155;140;133;101;90;92;75;64;80;71;67;57;65
Jonatan;200;189;177;164;154;138;143;134;114;119;97;90;64;59;52;48
Jonathan;749;741;699;605;612;613;602;541;483;444;373;358;313;317;270;258
Jones;0;0;0;0;0;0;0;0;0;0;0;10;0;0;10;12
Jonny;11;13;0;0;11;0;0;0;0;0;0;0;0;0;0;0
Jordan;0;0;13;13;17;15;25;34;24;17;13;11;12;0;0;14
Josef;94;92;107;93;97;131;123;143;110;124;122;142;136;113;99;117
Joseph;23;16;25;11;0;20;11;16;24;22;15;16;20;22;20;20
Joshua;17;20;22;26;27;19;17;28;26;32;29;21;26;24;22;32
Julian;15;22;17;20;38;40;37;45;73;78;101;99;130;118;147;158
Julius;64;58;74;92;81;89;76;70;85;82;106;103;106;127;129;91
Junior;0;0;0;0;0;0;0;0;0;0;0;0;10;0;12;0
Justin;0;0;0;0;0;0;13;14;0;15;14;15;20;21;18;12
Kaan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
Kacper;0;0;0;0;0;0;0;0;0;0;0;0;10;0;12;15
Kalle;52;44;72;67;83;90;81;90;77;74;38;64;51;47;53;52
Karim;0;13;10;13;0;0;12;0;0;18;15;12;18;22;18;24
Karl;244;207;211;210;213;232;223;200;156;164;167;148;116;118;114;102
Kaspar;0;0;0;0;12;10;0;0;0;0;0;0;0;0;0;0
Kasper;76;85;111;78;95;129;120;108;98;80;107;97;114;97;88;79
Kaspian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Kelian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
Kelvin;0;0;0;0;0;0;0;10;14;17;14;16;15;14;0;15
Kenan;0;0;0;0;0;15;10;0;18;14;15;16;17;15;12;18
Kenny;36;29;22;22;21;20;13;13;14;10;0;0;0;0;0;0
Kerim;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;11
Kevin;475;487;536;466;494;487;549;528;481;412;444;423;386;378;332;310
Kewin;10;0;0;0;10;12;19;15;13;17;0;13;0;11;11;0
Khaled;0;0;0;0;0;0;0;0;0;0;12;10;10;13;12;0
Khalid;11;14;0;0;0;0;0;10;15;0;10;10;14;14;24;31
Kian;0;0;0;0;0;12;13;20;28;33;44;49;60;57;70;89
Kid;0;0;0;0;0;0;0;0;0;0;0;0;0;12;11;0
Kim;124;99;106;80;82;85;81;71;43;45;46;32;22;24;14;17
Kimi;0;0;0;0;0;0;0;10;10;13;14;10;0;0;0;0
Klas;19;18;26;21;20;18;11;12;0;10;13;0;0;0;0;19
Knut;0;14;10;14;20;11;21;18;13;17;44;47;72;58;64;79
Konrad;13;0;15;14;18;16;11;15;15;30;19;33;25;23;22;27
Konstantinos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Kristian;63;48;54;43;35;35;29;37;37;26;28;28;22;27;24;28
Kristoffer;107;93;82;73;78;73;61;51;40;34;35;23;20;13;0;16
Laban;0;0;0;0;0;12;11;12;0;13;0;0;0;0;0;0
Lars;35;28;22;17;13;19;11;15;0;13;0;0;0;16;18;13
Leandro;0;0;0;0;11;0;0;0;12;0;11;15;14;15;23;17
