Name;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013
Aya;12;0;17;20;16;17;26;18;30;24;29;39;32;38;35;37
Ayla;0;0;0;0;0;11;10;13;14;13;10;20;16;16;18;28
Aylin;0;0;0;0;0;10;11;0;11;17;14;26;18;19;23;34
Azra;0;0;0;0;0;0;13;0;0;0;10;0;0;11;10;12
Bea;0;0;13;0;0;13;0;16;10;15;10;14;0;0;0;0
Beata;16;21;37;23;23;24;24;18;17;15;26;14;20;21;12;13
Beatrice;81;84;64;52;61;48;33;36;39;37;48;37;33;35;25;36
Belinda;0;12;18;12;0;15;14;14;0;0;0;0;0;0;0;0
Bella;0;0;10;15;21;32;37;51;61;63;65;59;86;92;93;96
Belle;0;0;0;0;0;0;0;0;0;0;0;11;14;18;15;30
Benin;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
Berfin;0;12;12;10;0;0;0;0;0;0;12;0;0;0;0;0
Betty;0;13;10;0;0;0;11;10;11;12;12;30;29;31;33;44
Bianca;32;37;42;56;61;62;64;76;90;85;85;91;98;108;109;92
Billie;0;0;0;0;0;0;0;0;0;0;0;0;10;19;17;34
Blanka;0;0;0;0;0;0;0;0;0;0;0;0;11;10;0;0
Blenda;0;0;0;0;0;14;11;19;12;11;0;0;0;0;0;0
Bodil;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;18
Bonnie;0;0;0;0;0;0;0;0;0;0;0;28;32;49;53;54
Britta;0;0;0;0;0;0;0;0;12;10;0;0;10;0;18;14
Caisa;0;12;0;11;0;0;0;0;0;0;0;0;0;0;0;0
Cajsa;76;68;82;72;67;64;65;43;42;26;29;35;29;22;22;13
Camilla;51;26;32;23;21;26;14;16;15;11;13;14;0;10;0;0
Carla;0;0;0;0;0;0;13;12;24;15;13;17;16;17;20;21
Carmen;0;0;0;0;10;0;0;10;0;11;0;0;13;10;0;0
Carolin;13;14;10;0;0;10;0;0;0;0;0;0;0;0;0;0
Carolina;103;96;69;63;52;54;36;34;40;23;27;21;24;14;14;10
Caroline;240;187;132;122;109;75;63;43;36;41;27;20;30;15;17;12
Casandra;10;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0
Cassandra;84;88;90;74;73;81;87;64;73;69;64;46;63;48;41;45
Cecilia;150;147;128;125;107;86;88;58;79;66;60;55;48;45;44;48
Celia;0;0;0;0;0;0;0;0;0;11;0;0;13;0;16;13
Celina;27;26;28;24;26;34;20;21;21;22;20;16;18;25;31;36
Celine;37;35;43;38;31;39;42;36;42;37;40;56;62;68;70;66
Céline;16;17;0;0;0;0;11;0;0;0;0;0;11;0;21;28
Chanel;0;0;0;0;0;0;0;12;12;13;0;0;19;21;23;22
Chanelle;0;0;0;0;0;0;0;10;0;11;0;21;10;0;14;0
Charlie;0;0;0;0;0;0;0;0;0;0;0;13;29;34;51;62
Charlotta;20;16;14;12;10;0;0;0;0;0;0;0;0;0;0;0
Charlotte;24;30;36;21;14;16;14;14;12;12;0;14;14;13;10;11
Chelsea;0;0;0;0;0;0;0;0;0;0;0;13;0;0;16;11
Chloe;0;0;0;0;0;0;0;0;0;0;16;10;16;24;21;13
Chloé;0;0;0;0;0;0;0;0;0;0;0;13;19;13;26;33
Christina;23;20;21;22;19;14;18;11;18;17;17;14;15;18;13;0
Christine;20;19;14;0;12;0;0;0;0;0;0;0;0;0;0;0
Cindy;10;0;0;0;0;11;0;0;0;12;12;13;16;13;11;12
Clara;252;273;256;335;340;338;351;330;327;302;302;236;253;245;232;265
Claudia;35;34;37;38;33;39;16;19;17;18;13;15;21;20;16;14
Cleo;0;0;0;0;0;0;0;0;0;0;0;17;15;11;17;23
Corinne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
Cornelia;190;232;213;188;198;197;181;280;262;214;225;234;191;195;180;220
Dagny;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18
Dahlia;0;0;0;0;0;0;0;0;0;0;0;13;12;10;18;18
Daisy;0;0;0;0;0;0;0;0;0;10;17;20;14;11;14;27
Dalia;0;0;13;14;0;14;16;14;0;11;11;10;24;18;18;19
Dana;0;0;0;0;11;0;12;0;0;14;12;11;12;11;11;0
Dania;0;0;0;0;0;0;0;13;0;16;19;17;11;22;18;0
Daniela;35;23;27;19;20;20;21;21;25;17;16;17;13;10;12;0
Daniella;70;75;56;58;58;70;49;53;49;46;30;37;38;35;31;29
Daria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0
Deborah;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Denice;11;0;14;13;0;0;0;12;0;0;0;0;0;0;0;0
Denise;65;50;42;44;37;47;49;37;27;42;25;21;22;21;28;23
Denize;0;10;0;0;12;0;13;10;0;0;0;0;0;0;0;0
Desirée;18;13;0;14;0;14;15;11;0;11;0;12;0;0;0;11
Destiny;0;0;0;0;0;0;0;0;0;0;0;0;14;0;11;0
Diana;65;36;54;55;53;65;49;57;33;51;53;62;42;56;54;43
Dilan;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dilara;0;0;0;0;12;12;10;10;15;11;0;0;12;0;0;0
Dima;0;0;0;0;0;0;0;0;0;0;0;15;0;10;0;10
Dina;11;10;0;11;10;22;28;25;24;21;24;12;24;11;16;11
Disa;17;26;21;34;33;37;39;38;46;43;36;38;48;33;40;24
Donia;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
Donya;0;0;0;0;0;0;0;0;0;0;10;0;0;0;10;0
Doris;0;0;0;0;0;0;0;13;19;25;38;56;52;78;60;69
Ebba;578;605;684;635;661;706;780;773;705;757;624;655;660;683;653;663
Eda;0;0;0;0;0;0;0;0;0;0;10;0;11;0;0;0
Edda;0;0;0;0;0;0;0;0;0;0;0;0;12;0;17;33
Eden;0;0;0;0;0;0;0;0;0;0;11;10;13;0;12;12
Edessa;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0
Edit;0;11;0;13;18;16;21;37;35;35;40;46;42;54;36;34
Edith;11;20;19;14;32;43;42;44;71;117;127;165;206;194;246;243
Eila;0;0;0;0;0;0;0;0;0;0;12;13;15;12;17;11
Eira;15;0;15;13;10;15;28;14;21;22;51;47;44;53;58;54
Ela;0;0;0;0;0;0;0;0;0;11;22;13;14;18;16;10
Eldana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Eleanor;0;0;0;0;0;0;0;0;0;0;0;0;13;10;11;13
Elena;0;0;0;0;0;13;11;21;18;19;18;22;28;25;30;34
Eleonor;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0
Eleonora;0;13;14;11;10;0;0;21;19;10;14;16;23;28;29;23
Eliana;0;0;0;0;0;0;0;0;0;0;11;0;11;12;12;22
Elicia;0;0;0;0;0;0;15;12;20;17;23;24;21;20;28;28
Elif;0;16;0;0;0;0;0;0;0;23;12;17;0;13;15;32
Elin;1037;1076;999;944;1044;1051;980;869;758;741;623;566;563;498;374;351
Elina;103;121;135;127;145;194;171;217;199;182;166;164;160;164;151;161
Eline;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;15
Elinor;16;22;19;0;0;15;10;0;15;0;0;0;0;10;0;10
Elisa;15;14;14;17;24;20;26;31;35;34;32;35;43;43;60;50
Elisabet;0;11;0;0;0;0;10;0;0;0;0;0;0;0;0;0
Elisabeth;39;31;27;17;25;28;24;22;25;25;28;25;26;26;36;32
Elise;50;49;46;51;66;57;95;90;97;92;108;153;146;160;212;229
Elisia;0;0;0;0;0;0;0;0;0;0;10;10;11;14;19;17
Elissa;0;0;0;0;0;0;0;11;0;14;18;0;14;15;20;18
Eliza;0;0;0;0;0;0;0;11;11;16;14;13;21;23;21;16
Elizabeth;0;0;0;0;10;0;0;0;0;0;0;12;0;20;10;11
Elize;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;13
Ella;198;195;267;353;572;687;776;801;759;845;773;796;720;693;664;688
Elle;0;0;0;0;0;0;0;13;10;13;0;17;21;30;28;26
Ellen;379;416;463;433;517;510;549;498;506;523;477;492;544;502;517;498
Elli;0;0;0;0;0;0;0;0;14;18;18;18;27;26;32;35
Ellie;0;0;0;13;21;35;38;38;50;74;98;132;240;276;305;298
Ellinor;144;142;135;103;108;92;65;65;84;56;64;66;71;72;61;74
Ellinore;22;0;17;12;0;0;0;0;0;0;0;0;0;0;11;13
Elly;0;0;0;0;10;0;11;16;18;16;30;38;57;34;39;39
Elma;20;20;25;35;38;38;40;51;60;64;68;66;83;76;57;61
Elmedina;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
